id,name,country,ico,ic_dph,dic,municipality,postal_code,property_registration_number,street_name,vat_payer,building_number,category,created_date,last_modified_date,created_by,last_modified_by,color,image,image_content_type
174,EKO-podnik verejnoprospešných služieb,Slovensko,00491870,SK2020887022,2020887022,Bratislava - mestská časť Nové Mesto,83290,20,Halašova,b'\x01',,,2024-04-26 06:42:13,2024-04-26 06:42:13,7,7,,,
175,"Bioaspa, spol. s r.o.",Slovensko,36240028,SK2020184298,2020184298,Kúty,90801,406,Hollého,b'\x01',,Stravovanie/Potraviny,2024-04-28 15:12:00,2024-05-13 19:18:38,7,system,,,
176,"Bombay Express Bratislava, s. r. o.",Slovensko,55426221,SK2121992862,2121992862,Bratislava - mestská časť Staré Mesto,81106,849,Tolstého,b'\x01',5,,2024-04-30 15:39:17,2024-04-30 15:39:17,7,7,,,
177,Včelco s.r.o.,Slovensko,36783455,SK2022385035,2022385035,Smolenice,91904,10A,Továrenská,b'\x01',,,2024-05-10 10:37:06,2024-05-10 10:37:06,7,7,,,
178,YOYOSO SK s. r. o.,Slovensko,54705525,SK2121790638,2121790638,Bratislava - mestská časť Nové Mesto,83104,17,Stará Vajnorská,b'\x01',,Zábava a oddych/Záľuby a šport,2024-05-10 10:37:32,2024-05-10 22:02:45,7,system,,,
179,"Predajne Malina, s.r.o.",Slovensko,56070110,SK2122175616,2122175616,Bratislava - mestská časť Petržalka,85101,,Haanova,b'\x00',46A,Stravovanie/Potraviny,2024-05-13 08:15:03,2024-09-17 19:20:20,7,system,,,
180,Gamma Root s. r. o.,Slovensko,54959055,SK2121834374,2121834374,Skalica,90901,1416,Vajanského,b'\x01',1,Stravovanie/Reštaurácie a kaviarne,2024-05-13 08:22:24,2024-09-30 12:51:49,7,7,,,
181,AGEL Clinic s. r. o.,Slovensko,45725381,SK7120001372,2023121496,Bratislava - mestská časť Ružinov,82108,8,Jelačičova,b'\x01',,Zdravie a osobná starostlivosť/Lekári a nemocnice,2024-05-14 10:17:17,2024-05-14 10:17:22,12,12,,,
182,"PHARMA CBC II, s.r.o.",Slovensko,36726494,SK2022324051,2022324051,Bratislava - mestská časť Staré Mesto,81105,54,Šancová,b'\x01',,Zdravie a osobná starostlivosť/Lieky a zdravotná starostlivosť,2024-05-28 05:54:53,2024-05-28 07:18:50,7,system,,,
183,TCHIBO SLOVENSKO spol. s r.o.,Slovensko,31335632,SK2020291273,2020291273,Bratislava - mestská časť Ružinov,82109,4,Prievozská,b'\x01',,Oblečenie a obuv/Móda,2024-05-28 05:55:26,2024-05-28 07:18:50,7,system,,,
